Geneid	5_R1	5_R2	30_R1	30_R2	60_R1	60_R2	120_R1	120_R2	Entity	Symbol
gene-TX72_RS10935	1494	1216	195	288	147	67	33	50	host	gene-TX72_RS10935
gene-TX72_RS04610	161	150	23	38	20	5	6	3	host	gene-TX72_RS04610_gene_lipA
gene-TX72_RS04245	193	160	34	48	33	12	12	8	host	gene-TX72_RS04245
gene-TX72_RS03960	717	723	111	186	54	37	16	18	host	gene-TX72_RS03960
gene-TX72_RS11365	105	110	10	17	9	1	1	3	host	gene-TX72_RS11365
gene-TX72_RS01160	128	101	10	16	9	7	2	3	host	rdgB
gene-TX72_RS02620	9	19	2	4	0	1	0	0	host	gene-TX72_RS02620
gene-TX72_RS13355	707	826	131	206	87	71	40	19	host	gene-TX72_RS13355
gene-TX72_RS14935	45	49	10	9	9	3	2	1	host	gene-TX72_RS14935
gene-TX72_RS08920	1282	1353	165	284	93	82	33	32	host	gene-TX72_RS08920
gene-TX72_RS01435	275	293	42	59	27	15	2	10	host	gene-TX72_RS01435
gene-TX72_RS07315	82	81	9	27	8	6	2	2	host	gene-TX72_RS07315
gene-TX72_RS06745	75	63	10	26	14	9	2	1	host	gene-TX72_RS06745
gene-TX72_RS13700	1499	1091	246	415	232	103	53	75	host	gene-TX72_RS13700
gene-TX72_RS12585	223	237	32	74	41	12	6	6	host	ppk1
gene-TX72_RS04835	12	17	4	9	4	4	2	1	host	gene-TX72_RS04835
gene-TX72_RS06200	1027	976	136	263	94	50	26	21	host	gene-TX72_RS06200
gene-TX72_RS06570	290	231	23	52	23	16	13	5	host	gene-TX72_RS06570
gene-TX72_RS03650	239	213	35	34	14	6	4	4	host	gene-TX72_RS03650
gene-TX72_RS07485	70	59	8	14	12	4	0	1	host	gene-TX72_RS07485
gene-TX72_RS10825	269	217	45	73	22	19	8	8	host	gene-TX72_RS10825
